WIC_ID,Job_Title,Posting_Date,Province,City,Salary_Per,Salary_Minimum,Salary_Maximum
15491326,business data analyst,2026-04-23,British Columbia,Burnaby,Hour,43.0,43.0
15566610,business data analyst,2026-05-20,Alberta,Edmonton,Hour,48.1,48.1
15597075,business intelligence specialist,2026-06-01,Ontario,Toronto,Hour,46.0,46.0
15604698,data analytics specialist,2026-06-03,Ontario,Toronto,Year,60000.0,75000.0
15628713,data scientist,2026-06-11,Ontario,Mississauga,Hour,45.0,55.0
15628476,business data analyst,2026-06-11,Alberta,Edmonton,Hour,46.0,48.0
15642551,data analytics specialist,2026-06-16,Ontario,,Hour,35.0,35.0
15651841,data analyst - informatics and systems,2026-06-19,Québec,Stoneham-et-Tewkesbury,Hour,40.0,40.0
15693882,data analyst - informatics and systems,2026-07-07,Québec,Stoneham-et-Tewkesbury,Hour,40.0,40.0
15730915,data scientist,2026-07-21,Saskatchewan,Saskatoon,Year,69880.0,94544.0
15746387,data scientist,2026-07-28,Québec,Laval,Hour,41.91,49.1
15747768,data scientist,2026-07-28,New Brunswick,Shediac,Hour,42.0,45.0
15749186,business intelligence specialist,2026-07-29,Québec,Montréal,Hour,36.0,36.0
15752280,data analytics specialist,2026-07-30,Québec,Mirabel,Year,79000.0,82000.0
15752279,data analytics specialist,2026-07-30,Québec,Montréal,Year,79000.0,82000.0
