WIC_Job_Location_Snapshot_ID,Job_Title,Original_Job_Title,NOC21_Code,NOC21_Code_Name,First_Posting_Date,Month,Vacancy_Count,Province_Territory,City,Economic_Region,Employment_Type,Employment_Term,Education_LOS,Experience_Level,Salary_Condition_Detail,Salary_Per,Salary_Minimum,Salary_Maximum,Estimated_Annual_Min,Estimated_Annual_Max,Estimated_Annual_Mid,Salary_Valid,NOC21_Code_Clean,Digital Literacy,Numeracy,Problem Solving,Systems Analysis,Critical Thinking,Decision Making,Reading Comprehension,Writing,Troubleshooting,Time Management
15292904,data scientist,Data Scientist III,21211.0,Data scientists,2026-03-01,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15294248,data analyst - informatics and systems,Not specified,21223.0,Database analysts and data administrators,2026-03-02,2026-03,1,Ontario,Richmond Hill,Toronto Region,Full time,Permanent employment,Bachelor's degree,1 year to less than 2 years,$45.00 hourly,Hour,45.0,45.0,93600.0,93600.0,93600.0,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
15302714,data analyst - informatics and systems,Data Designer I,21223.0,Database analysts and data administrators,2026-03-06,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$25.00 to $61.03 hourly,Hour,25.0,61.03,52000.0,126942.4,89471.2,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
15331715,data analyst - informatics and systems,Site Reliability Engineer II - PC Financial &amp; Services,21223.0,Database analysts and data administrators,2026-03-15,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$24.00 to $58.00 hourly,Hour,24.0,58.0,49920.0,120640.0,85280.0,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
15355332,business data analyst,Not specified,21221.0,Business systems specialists,2026-03-25,2026-03,2,Ontario,Nepean,Ottawa Region,Full time,Term or contract,Master's degree,5 years or more,"$3,850.00 biweekly",Bi-weekly,3850.0,3850.0,100100.0,100100.0,100100.0,True,21221,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
15353083,data analyst - informatics and systems,Analyst-developer - Health data integration and infrastructure,21223.0,Database analysts and data administrators,2026-03-25,2026-03,1,New Brunswick,Sainte-Anne-de-Kent,Moncton–Richibucto Region,Full time,Term or contract,Not specified,Not specified,"$66,924.00 to $93,470.00 annually",Year,66924.0,93470.0,66924.0,93470.0,80197.0,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
15346163,data scientist,"Lead Data Scientist, Fraud Applied AI &amp; Innovation",21211.0,Data scientists,2026-03-22,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15346598,business data analyst,Not specified,21221.0,Business systems specialists,2026-03-23,2026-03,1,Alberta,Edmonton,Edmonton Region,Full time,Permanent employment,Not specified,Not specified,$48.10 hourly,Hour,48.1,48.1,100048.0,100048.0,100048.0,True,21221,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
15292862,data scientist,Data Scientist I,21211.0,Data scientists,2026-03-01,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15305659,big data analyst,Data Analyst,21211.0,Data scientists,2026-03-02,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Not specified,Not specified,Not specified,"$85,000.00 to $100,000.00 annually",Year,85000.0,100000.0,85000.0,100000.0,92500.0,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15362580,data analyst - informatics and systems,Sr. Data Analyst - NBA Delivery Optimization,21223.0,Database analysts and data administrators,2026-03-29,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$25.00 to $61.03 hourly,Hour,25.0,61.03,52000.0,126942.4,89471.2,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
