WIC_ID,Job_Title,Posting_Date,Province,City,Salary_Per,Salary_Minimum,Salary_Maximum,Job_Bank_Job_Number,Job_Bank_URL,Technology_Knowledge,Match_Status
15293390,marketing data analyst,2026-03-01,Ontario,Markham,Hour,48.0,48.0,3519121,https://www.jobbank.gc.ca/jobsearch/jobposting/49026134,Database management; Enterprise resource planning (ERP) software,Verified
15294248,data analyst - informatics and systems,2026-03-02,Ontario,Richmond Hill,Hour,45.0,45.0,3519430,https://www.jobbank.gc.ca/jobsearch/jobposting/49028849,,Verified
15306899,data scientist,2026-03-06,Québec,,Hour,46.15,46.15,3523161,https://www.on.jobbank.gc.ca/jobsearch/jobposting/49056022,Jira; Machine Learning; Linux; C++; Linux - PSOS; MS Windows; Internet; Programming languages; Software development; Data analysis software,Verified
15323256,data scientist,2026-03-12,Ontario,Mississauga,Year,98000.0,150000.0,3528614,https://www.jobbank.gc.ca/jobsearch/jobposting/49097871,Android; Data Warehouse; Linux; MySQL; Programming software; SASS,Verified
15323309,data analyst - informatics and systems,2026-03-13,Ontario,Etobicoke,Hour,43.96,43.96,3528626,https://www.jobbank.gc.ca/jobsearch/jobposting/49098016,Android; Data Warehouse; Linux; MySQL; Programming software; SASS,Verified
15323259,data analyst - informatics and systems,2026-03-13,Ontario,Mississauga,Hour,43.96,43.96,3528622,https://yt.jobbank.gc.ca/jobsearch/jobposting/49097876,Data Warehouse; Linux; MySQL; Programming software; SASS,Verified
15341700,data scientist,2026-03-20,Ontario,,Year,85000.0,95000.0,3523745,,,Verified - No technology listed
15342796,business data analyst,2026-03-20,Alberta,Edmonton,Hour,48.1,48.1,3534366,,,Verified - Technology unavailable
15342389,data analytics specialist,2026-03-20,Ontario,Cambridge,Hour,25.0,35.0,3531046,https://mb.jobbank.gc.ca/jobsearch/jobposting/49144423,,Verified - No technology listed
15355332,business data analyst,2026-03-25,Ontario,Nepean,Bi-weekly,3850.0,3850.0,3538057,https://www.jobbank.gc.ca/jobsearch/jobposting/49175818,Agile; Cloud; Informatica; Networking software; Networking security; Intranet; Database software; Software development; Spreadsheet; MS Office,Verified
15363720,data analytics specialist,2026-03-30,Ontario,Toronto,Year,80000.0,115000.0,3532652,,,Verified - Technology unavailable
15376895,data scientist,2026-04-03,New Brunswick,Shediac,Hour,42.0,45.0,3544474,,Machine Learning; SQL; Mapping and data visualization software; Data analysis software; Python; Big Data,Verified
15488194,data scientist,2026-04-22,British Columbia,Burnaby,Hour,48.1,48.1,3559548,,,Verified - No technology listed
15491326,business data analyst,2026-04-23,British Columbia,Burnaby,Hour,43.0,43.0,,,,Not checked
15495035,data analyst - informatics and systems,2026-04-24,Ontario,Oshawa,Hour,20.0,20.0,3561054,,,Verified - Technology unavailable
15500205,business data analyst,2026-04-27,Ontario,St. Thomas,Hour,41.5,41.5,3543452,,,Verified - Technology unavailable
15507639,data analyst - informatics and systems,2026-04-29,Alberta,Calgary,Hour,44.5,44.5,3558975,https://www.jobbank.gc.ca/jobsearch/jobposting/49422699,Machine Learning; Microsoft Visual Studio; DB2; MySQL; Mapping and data visualization software; Data analysis software; MS Office; MS Windows; Spreadsheet; Amazon Web Services (AWS),Verified
15514769,data quality analyst,2026-05-01,Ontario,Mississauga,Hour,44.5,44.5,3566016,,,Verified - Technology unavailable
15553278,data analyst - informatics and systems,2026-05-15,Québec,Stoneham-et-Tewkesbury,Hour,40.0,40.0,3569127,,MS SQL Server; Progress; Java; Python; SQL,Verified
15554294,data analyst - informatics and systems,2026-05-15,British Columbia,Surrey,Hour,45.0,45.0,3577305,https://www.jobbank.gc.ca/jobsearch/jobposting/49522430,,Verified - No technology listed
15557280,data quality analyst,2026-05-17,Alberta,Fort McMurray,Hour,40.0,42.0,3577992,,,Verified - Technology unavailable
15559130,data analyst - informatics and systems,2026-05-19,Ontario,Toronto,Year,135000.0,140000.0,3575653,https://www.jobbank.gc.ca/jobsearch/jobposting/49541388,Informix; Oracle,Verified
15566610,business data analyst,2026-05-20,Alberta,Edmonton,Hour,48.1,48.1,,,,Not checked
15597075,business intelligence specialist,2026-06-01,Ontario,Toronto,Hour,46.0,46.0,,,,Not checked
15601241,business data analyst,2026-06-02,Ontario,North York,Year,82810.0,82810.0,3589827,https://www.jobbank.gc.ca/jobsearch/jobposting/49637471,C; C++; Java; Python,Verified
15605205,data analyst - informatics and systems,2026-06-03,Saskatchewan,Saskatoon,Hour,30.0,41.0,3587624,https://www.jobbank.gc.ca/jobsearch/jobposting/49645685,,Verified - No technology listed
15604698,data analytics specialist,2026-06-03,Ontario,Toronto,Year,60000.0,75000.0,,,,Not checked
15628713,data scientist,2026-06-11,Ontario,Mississauga,Hour,45.0,55.0,,,,Not checked
15628476,business data analyst,2026-06-11,Alberta,Edmonton,Hour,46.0,48.0,,,,Not checked
15642551,data analytics specialist,2026-06-16,Ontario,,Hour,35.0,35.0,,,,Not checked
15644785,data analyst - informatics and systems,2026-06-17,British Columbia,,Year,62500.0,62500.0,3590100,https://www.jobbank.gc.ca/jobsearch/jobposting/49736034,Data analysis software; Amazon Web Services (AWS); Python; Business intelligence; Data analysis and interpretation,Verified
15651841,data analyst - informatics and systems,2026-06-19,Québec,Stoneham-et-Tewkesbury,Hour,40.0,40.0,,,,Not checked
15657440,business data analyst,2026-06-22,Ontario,North York,Year,80000.0,80000.0,3596666,,,Verified - Technology unavailable
15693882,data analyst - informatics and systems,2026-07-07,Québec,Stoneham-et-Tewkesbury,Hour,40.0,40.0,,,,Not checked
15704901,data analyst - informatics and systems,2026-07-10,Ontario,Mississauga,Hour,45.0,45.0,3619186,https://www.jobbank.gc.ca/jobsearch/jobposting/49878693,Data Warehouse; Programming software; Database software; Spreadsheet; SASS; SQL,Verified
15730915,data scientist,2026-07-21,Saskatchewan,Saskatoon,Year,69880.0,94544.0,,,,Not checked
15746387,data scientist,2026-07-28,Québec,Laval,Hour,41.91,49.1,,,,Not checked
15747768,data scientist,2026-07-28,New Brunswick,Shediac,Hour,42.0,45.0,,,,Not checked
15749186,business intelligence specialist,2026-07-29,Québec,Montréal,Hour,36.0,36.0,,,,Not checked
15752280,data analytics specialist,2026-07-30,Québec,Mirabel,Year,79000.0,82000.0,,,,Not checked
15752279,data analytics specialist,2026-07-30,Québec,Montréal,Year,79000.0,82000.0,,,,Not checked
