Technology,Postings_Mentioning,Demand_Percentage
Data Analysis Software,4,21.05
Data Warehouse,4,21.05
Linux,4,21.05
MySQL,4,21.05
Programming Software,4,21.05
Python,4,21.05
SASS,4,21.05
Machine Learning,3,15.79
SQL,3,15.79
Spreadsheet Software,3,15.79
AWS,2,10.53
Android,2,10.53
C++,2,10.53
Database Software,2,10.53
Java,2,10.53
MS Office,2,10.53
Mapping and data visualization software,2,10.53
Software Development,2,10.53
Windows,2,10.53
Agile,1,5.26
Big Data,1,5.26
Business intelligence,1,5.26
C,1,5.26
Cloud,1,5.26
DB2,1,5.26
Data analysis and interpretation,1,5.26
Database management,1,5.26
Enterprise resource planning (ERP) software,1,5.26
Informatica,1,5.26
Informix,1,5.26
Internet,1,5.26
Intranet,1,5.26
Jira,1,5.26
Linux - PSOS,1,5.26
MS SQL Server,1,5.26
Microsoft Visual Studio,1,5.26
Network Security,1,5.26
Networking Software,1,5.26
Oracle,1,5.26
Programming Languages,1,5.26
Progress,1,5.26
