WIC_ID,Job_Title,Posting_Date,Province,City,Salary_Per,Salary_Minimum,Salary_Maximum,Job_Bank_Job_Number,Job_Bank_URL,Technology_Knowledge,Match_Status
15293390,marketing data analyst,2026-03-01,Ontario,Markham,Hour,48.0,48.0,3519121,https://www.jobbank.gc.ca/jobsearch/jobposting/49026134,Database management; Enterprise resource planning (ERP) software,Verified
15294248,data analyst - informatics and systems,2026-03-02,Ontario,Richmond Hill,Hour,45.0,45.0,3519430,https://www.jobbank.gc.ca/jobsearch/jobposting/49028849,,Verified
15306899,data scientist,2026-03-06,Québec,,Hour,46.15,46.15,3523161,https://www.on.jobbank.gc.ca/jobsearch/jobposting/49056022,Jira; Machine Learning; Linux; C++; Linux - PSOS; MS Windows; Internet; Programming languages; Software development; Data analysis software,Verified
15323256,data scientist,2026-03-12,Ontario,Mississauga,Year,98000.0,150000.0,3528614,https://www.jobbank.gc.ca/jobsearch/jobposting/49097871,Android; Data Warehouse; Linux; MySQL; Programming software; SASS,Verified
15323309,data analyst - informatics and systems,2026-03-13,Ontario,Etobicoke,Hour,43.96,43.96,3528626,https://www.jobbank.gc.ca/jobsearch/jobposting/49098016,Android; Data Warehouse; Linux; MySQL; Programming software; SASS,Verified
15323259,data analyst - informatics and systems,2026-03-13,Ontario,Mississauga,Hour,43.96,43.96,3528622,https://yt.jobbank.gc.ca/jobsearch/jobposting/49097876,Data Warehouse; Linux; MySQL; Programming software; SASS,Verified
15341700,data scientist,2026-03-20,Ontario,,Year,85000.0,95000.0,3523745,,,Verified - No technology listed
15342389,data analytics specialist,2026-03-20,Ontario,Cambridge,Hour,25.0,35.0,3531046,https://mb.jobbank.gc.ca/jobsearch/jobposting/49144423,,Verified - No technology listed
15355332,business data analyst,2026-03-25,Ontario,Nepean,Bi-weekly,3850.0,3850.0,3538057,https://www.jobbank.gc.ca/jobsearch/jobposting/49175818,Agile; Cloud; Informatica; Networking software; Networking security; Intranet; Database software; Software development; Spreadsheet; MS Office,Verified
15376895,data scientist,2026-04-03,New Brunswick,Shediac,Hour,42.0,45.0,3544474,,Machine Learning; SQL; Mapping and data visualization software; Data analysis software; Python; Big Data,Verified
15488194,data scientist,2026-04-22,British Columbia,Burnaby,Hour,48.1,48.1,3559548,,,Verified - No technology listed
15507639,data analyst - informatics and systems,2026-04-29,Alberta,Calgary,Hour,44.5,44.5,3558975,https://www.jobbank.gc.ca/jobsearch/jobposting/49422699,Machine Learning; Microsoft Visual Studio; DB2; MySQL; Mapping and data visualization software; Data analysis software; MS Office; MS Windows; Spreadsheet; Amazon Web Services (AWS),Verified
15553278,data analyst - informatics and systems,2026-05-15,Québec,Stoneham-et-Tewkesbury,Hour,40.0,40.0,3569127,,MS SQL Server; Progress; Java; Python; SQL,Verified
15554294,data analyst - informatics and systems,2026-05-15,British Columbia,Surrey,Hour,45.0,45.0,3577305,https://www.jobbank.gc.ca/jobsearch/jobposting/49522430,,Verified - No technology listed
15559130,data analyst - informatics and systems,2026-05-19,Ontario,Toronto,Year,135000.0,140000.0,3575653,https://www.jobbank.gc.ca/jobsearch/jobposting/49541388,Informix; Oracle,Verified
15601241,business data analyst,2026-06-02,Ontario,North York,Year,82810.0,82810.0,3589827,https://www.jobbank.gc.ca/jobsearch/jobposting/49637471,C; C++; Java; Python,Verified
15605205,data analyst - informatics and systems,2026-06-03,Saskatchewan,Saskatoon,Hour,30.0,41.0,3587624,https://www.jobbank.gc.ca/jobsearch/jobposting/49645685,,Verified - No technology listed
15644785,data analyst - informatics and systems,2026-06-17,British Columbia,,Year,62500.0,62500.0,3590100,https://www.jobbank.gc.ca/jobsearch/jobposting/49736034,Data analysis software; Amazon Web Services (AWS); Python; Business intelligence; Data analysis and interpretation,Verified
15704901,data analyst - informatics and systems,2026-07-10,Ontario,Mississauga,Hour,45.0,45.0,3619186,https://www.jobbank.gc.ca/jobsearch/jobposting/49878693,Data Warehouse; Programming software; Database software; Spreadsheet; SASS; SQL,Verified
